hhid,cash,eligible,time,male,age35,schooling,nutrition
306,1,0,1,0,1,0,-.44604713
307,1,0,0,0,1,0,-.20405026
307,1,0,1,0,1,0,.039885584
308,1,0,0,0,1,1,-.032794926
308,1,0,1,0,1,1,-.22676605
309,1,0,0,0,1,0,-.32689381
309,1,0,1,0,1,0,-1.0494016
310,1,0,0,0,1,1,1.7097913
310,1,0,1,0,1,1,1.6132852
311,1,0,0,1,1,0,-.032363936
311,1,0,1,1,1,0,.039885584
312,1,0,0,0,1,0,-.20405026
312,1,0,1,0,1,0,.82658541
313,1,0,0,0,1,0,.96155715
313,1,0,1,0,1,0,.34065267
314,1,0,0,0,1,0,.21332315
314,1,0,1,0,1,0,-.19495793
315,1,0,0,1,0,0,.96155715
315,1,0,1,1,0,0,.039885584
316,1,0,0,0,1,0,.030005489
316,1,0,1,0,1,0,-2.2625351
317,1,0,0,1,1,0,.630027
317,1,0,1,1,1,0,.82658541
318,1,0,0,1,0,0,-1.6705642
318,1,0,1,1,0,0,-.22676605
319,1,0,0,0,1,0,1.1797786
319,1,0,1,0,1,0,1.0697988
320,1,0,0,0,1,0,.030005489
320,1,0,1,0,1,0,-2.0195687
321,1,0,0,1,1,1,.21332315
321,1,0,1,1,1,1,-1.3330839
322,1,0,0,0,0,0,-.36414501
322,1,0,1,0,0,0,.82658541
323,1,0,0,0,1,0,-.032794926
323,1,0,1,0,1,0,-.22676605
324,1,0,0,0,1,0,1.1797786
324,1,0,1,0,1,0,1.0697988
325,1,0,0,0,1,0,-.032794926
325,1,0,1,0,1,0,.039885584
326,1,0,0,0,1,0,.21332315
326,1,0,1,0,1,0,.039885584
327,1,0,0,0,1,0,-.90347731
327,1,0,1,0,1,0,.82658541
328,1,0,0,0,0,0,.12681039
328,1,0,1,0,0,0,.82658541
329,1,0,0,0,1,0,-.63002849
329,1,0,1,0,1,0,1.0697988
330,1,0,0,0,1,0,-1.2474838
330,1,0,1,0,1,0,.82658541
331,1,0,0,0,1,0,-.41273692
331,1,0,1,0,1,0,-.44604713
332,1,0,0,0,1,1,.96155715
332,1,0,1,0,1,1,.039885584
333,1,0,0,0,1,0,-2.5693038
333,1,0,1,0,1,0,.039885584
334,1,0,0,0,1,0,.21332315
334,1,0,1,0,1,0,.039885584
335,1,0,0,0,1,0,.96155715
335,1,0,1,0,1,0,.82658541
336,1,0,0,0,1,0,.21332315
336,1,0,1,0,1,0,-.88956547
337,1,0,0,0,0,0,.28094721
337,1,0,1,0,0,0,-1.5760504
338,1,0,0,0,1,0,-.20405026
338,1,0,1,0,1,0,.1482235
339,1,0,0,0,1,0,-.77549738
339,1,0,1,0,1,0,-.67692399
340,1,0,0,0,1,0,.21332315
340,1,0,1,0,1,0,.039885584
341,1,0,0,0,1,0,-.20405026
341,1,0,1,0,1,0,.039885584
342,1,0,0,0,1,0,-.52184278
342,1,0,1,0,1,0,.039885584
343,1,0,0,0,1,0,-1.2474838
343,1,0,1,0,1,0,-1.4877255
344,1,0,0,0,0,1,.86989832
344,1,0,1,0,0,1,.82658541
345,1,0,0,0,1,0,-.42828861
345,1,0,1,0,1,0,.039885584
346,1,0,0,0,1,0,.21332315
346,1,0,1,0,1,0,1.0697988
347,1,0,0,1,1,0,-.032794926
347,1,0,1,1,1,0,.039885584
348,1,0,0,1,1,0,.21332315
348,1,0,1,1,1,0,.82658541
349,1,0,0,0,1,1,.21332315
349,1,0,1,0,1,1,1.6132852
350,1,0,0,0,1,0,.21332315
350,1,0,1,0,1,0,.82658541
351,1,0,0,0,1,0,.96155715
351,1,0,1,0,1,0,.82658541
352,1,0,0,0,1,0,-.43095058
352,1,0,1,0,1,0,-.61381316
353,1,0,0,0,1,0,.68361974
353,1,0,1,0,1,0,-.61381316
354,1,0,0,0,1,0,-.061653327
354,1,0,1,0,1,0,.039885584
